,Date,Country,Locality,Sector,Acc_level,Pot_Acc_Level,Gender,Emp_type,Risk_Type,Description,Year,Month,Day,Weekday,WeekofYear,Season,Quarter,CleanDescription,New_Description
10,2016-01-28,1,3,2,1,3,1,1,16,"While installing a segment of the polyurethane pulley protective lyner - 60x4x5cm weighing 1.2 kg - on the head pulley of the ore winch, when the pulley is rotated to compress the lyner inside the channel, it falls from its housing 1.50 m rubbing the right side of the worker's hip, generating the injury described.",1,1,28,5,3,3,1,"['instal', 'segment', 'polyurethane', 'pulley', 'protective', 'lyner', 'weigh', 'head', 'pulley', 'ore', 'winch', 'pulley', 'rotate', 'compress', 'lyner', 'inside', 'channel', 'fall', 'house', 'rub', 'right', 'side', 'worker', 'hip', 'generate', 'injury', 'describe']",instal segment polyurethane pulley protective lyner weigh head pulley ore winch pulley rotate compress lyner inside channel fall house rub right side worker hip generate injury describe
11,2016-01-30,1,3,2,1,4,1,2,16,"While preparing the rice for the lunch of the day, when moving the pot # 60 - 35 Kg of weight including the contents - to evacuate the residual water of the cooking of the rice, when positioning the pot on a jaba it tilts backwards spilling some 200 ml of hot water on the cook's leg. The cook immediately after the event applies first aid, pouring cold water on the area of ​​the injury and go to the medical post for evaluation.",1,1,30,3,3,3,1,"['prepare', 'rice', 'lunch', 'day', 'move', 'pot', 'weight', 'include', 'content', 'evacuate', 'residual', 'water', 'cook', 'rice', 'position', 'pot', 'jaba', 'tilt', 'backwards', 'spill', 'hot', 'water', 'cook', 'leg', 'cook', 'immediately', 'event', 'apply', 'first', 'aid', 'pour', 'cold', 'water', 'area', 'injury', 'medical', 'post', 'evaluation']",prepare rice lunch day move pot weight include content evacuate residual water cook rice position pot jaba tilt backwards spill hot water cook leg cook immediately event apply first aid pour cold water area injury medical post evaluation
12,2016-01-02,2,5,1,1,1,1,1,13,The collaborator reports that he was working in the Ustulación and realized that the cyclone duct was obstructed and opened the door to try to unclog the same and the material detached and projected towards the employee causing small burn in the right heel.,1,1,2,3,52,3,1,"['collaborator', 'report', 'work', 'ustulaci', 'realize', 'cyclone', 'duct', 'obstruct', 'open', 'door', 'try', 'unclog', 'material', 'detach', 'project', 'towards', 'employee', 'cause', 'small', 'burn', 'right', 'heel']",collaborator report work ustulaci realize cyclone duct obstruct open door try unclog material detach project towards employee cause small burn right heel
13,2016-02-02,1,1,2,4,5,1,2,8,"In moments that the operator of the Jumbo 2, tried energize your equipment to proceed to the installation of 4 split set at intersection 544 of Nv 3300, remove the lock and opening the electric board of 440V and 400A, and when lifting the thermomagnetic key This makes phase to ground - phase contact with the panel shell - producing a flash which reaches the operator causing the injury described.",1,2,2,6,4,3,1,"['moments', 'operator', 'jumbo', 'try', 'energize', 'equipment', 'proceed', 'installation', 'split', 'set', 'intersection', 'remove', 'lock', 'open', 'electric', 'board', 'lift', 'thermomagnetic', 'key', 'make', 'phase', 'grind', 'phase', 'contact', 'panel', 'shell', 'produce', 'flash', 'reach', 'operator', 'cause', 'injury', 'describe']",moments operator jumbo try energize equipment proceed installation split set intersection remove lock open electric board lift thermomagnetic key make phase grind phase contact panel shell produce flash reach operator cause injury describe
14,2016-04-02,2,5,1,1,3,1,1,5,"Due to the accumulation of Waelz on the conveyor and trailer of the Filter 08FI0502, the employee performed the cleaning of the shutter using the air lance, when he was surprised by the fall of the product that was above the door, passing between the neck and the collar of the aramid jacket and causing burn in the neck and shoulder.",1,4,2,3,12,1,2,"['due', 'accumulation', 'waelz', 'conveyor', 'trailer', 'filter', 'employee', 'perform', 'clean', 'shutter', 'use', 'air', 'lance', 'surprise', 'fall', 'product', 'door', 'pass', 'neck', 'collar', 'aramid', 'jacket', 'cause', 'burn', 'neck', 'shoulder']",due accumulation waelz conveyor trailer filter employee perform clean shutter use air lance surprise fall product door pass neck collar aramid jacket cause burn neck shoulder
15,2016-04-02,2,5,1,1,4,1,1,13,"The employee was working in the When a thermal shock caused a splash of zinc in his direction, the employee, despite using all the indicated PPE, was hit by small spatters that passed between the facila and the hood. small burn in the face region.",1,4,2,3,12,1,2,"['employee', 'work', 'thermal', 'shock', 'cause', 'splash', 'zinc', 'direction', 'employee', 'despite', 'use', 'indicate', 'ppe', 'hit', 'small', 'spatter', 'pass', 'facila', 'hood', 'small', 'burn', 'face', 'region']",employee work thermal shock cause splash zinc direction employee despite use indicate ppe hit small spatter pass facila hood small burn face region
16,2016-06-02,1,4,2,3,4,1,2,16,"At Rp 050 of level 1620, in circumstances where the workers of the company were performing the task of diamond drilling, the assistants Jhonatan (injured) and Nilton were preparing to increase the HQ perforation pipe located on the scaffolding, Mr. Jhonatan lifts one end of the tube and supports it on the pulley of the equipment frame, the other end being on the working scaffolding, at the moment that Mr. Nilton lifts the end of the HQ pipe that is in the scaffolding to position in the frame, the upper part of the pipe comes out of the pulley falling and striking the right hand of the worker jhonatan against bolts that has the lateral part of the same frame causing the injury described.",1,6,2,5,21,4,2,"['level', 'circumstances', 'workers', 'company', 'perform', 'task', 'diamond', 'drill', 'assistants', 'jhonatan', 'injure', 'nilton', 'prepare', 'increase', 'perforation', 'pipe', 'locate', 'scaffold', 'jhonatan', 'lift', 'one', 'end', 'tube', 'support', 'pulley', 'equipment', 'frame', 'end', 'work', 'scaffold', 'moment', 'nilton', 'lift', 'end', 'pipe', 'scaffold', 'position', 'frame', 'upper', 'part', 'pipe', 'come', 'pulley', 'fall', 'strike', 'right', 'hand', 'worker', 'jhonatan', 'bolt', 'lateral', 'part', 'frame', 'cause', 'injury', 'describe']",level circumstances workers company perform task diamond drill assistants jhonatan injure nilton prepare increase perforation pipe locate scaffold jhonatan lift one end tube support pulley equipment frame end work scaffold moment nilton lift end pipe scaffold position frame upper part pipe come pulley fall strike right hand worker jhonatan bolt lateral part frame cause injury describe
17,2016-07-02,1,6,1,1,2,0,2,16,"Due to the overheating of 2 bars in row 5 of cell 7 a spark is produced, which is projected and manages to reach the Chief of guard who was in the corridor, producing a first degree burn in the neck.",1,7,2,3,25,4,3,"['due', 'overheat', 'bar', 'row', 'cell', 'spark', 'produce', 'project', 'manage', 'reach', 'chief', 'guard', 'corridor', 'produce', 'first', 'degree', 'burn', 'neck']",due overheat bar row cell spark produce project manage reach chief guard corridor produce first degree burn neck
18,2016-08-02,1,6,1,1,2,1,1,16,"An auxiliary wheel of the cathode crane G2133 was changed in area 75, when when a bearing was heated and hit with a hammer and chisel at one end of the bearing track, a detachment of a bearing piece occurred, impacting it in the thigh of the right leg producing a cut. The ambulance is called and you are transferred to the clinic.",1,8,2,6,30,4,3,"['auxiliary', 'wheel', 'cathode', 'crane', 'change', 'area', 'bear', 'heat', 'hit', 'hammer', 'chisel', 'one', 'end', 'bear', 'track', 'detachment', 'bear', 'piece', 'occur', 'impact', 'thigh', 'right', 'leg', 'produce', 'cut', 'ambulance', 'call', 'transfer', 'clinic']",auxiliary wheel cathode crane change area bear heat hit hammer chisel one end bear track detachment bear piece occur impact thigh right leg produce cut ambulance call transfer clinic
19,2016-02-21,1,6,1,1,3,1,1,16,"The worker Manuel was making the disconnection of the power cables of the gate that is at the intersection of Manco streets with Cajamarquilla in order to remove it. In circumstances that Mr. José worker of the company ITS, was removing the rope tied in the body of the gate, this yields and falls pulling the warning post which hits the helmet of Mr. who He was standing at his side.",1,2,21,4,6,3,1,"['worker', 'manuel', 'make', 'disconnection', 'power', 'cable', 'gate', 'intersection', 'manco', 'streets', 'cajamarquilla', 'order', 'remove', 'circumstances', 'jos', 'worker', 'company', 'remove', 'rope', 'tie', 'body', 'gate', 'yield', 'fall', 'pull', 'warn', 'post', 'hit', 'helmet', 'stand', 'side']",worker manuel make disconnection power cable gate intersection manco streets cajamarquilla order remove circumstances jos worker company remove rope tie body gate yield fall pull warn post hit helmet stand side
20,2016-02-25,1,6,1,1,2,1,2,16,"At 14:16, the operator Samuel was about to open the container for its subsequent loading with silver concentrate, and opened the first gate. Afterwards, he tries to open the second door and it is when product of the opening of the latter, the first one opens and impacts with the handle the safety lens and generates the injury in the left cheekbone of the face of the operator.",1,2,25,5,7,3,1,"['operator', 'samuel', 'open', 'container', 'subsequent', 'load', 'silver', 'concentrate', 'open', 'first', 'gate', 'afterwards', 'try', 'open', 'second', 'door', 'product', 'open', 'latter', 'first', 'one', 'open', 'impact', 'handle', 'safety', 'lens', 'generate', 'injury', 'leave', 'cheekbone', 'face', 'operator']",operator samuel open container subsequent load silver concentrate open first gate afterwards try open second door product open latter first one open impact handle safety lens generate injury leave cheekbone face operator
21,2016-09-02,1,3,2,1,4,1,2,16,"In the Raise chamber, when the operator and assistant removed the drilling bar from the 71R drilling machine - weight approx. 500 Kg - holding it at the top with a 2 TM stroke and assisted with jibs to move horizontally, the operator's jib on the bottom slides by moving the top of the drill bar causing the assistant's bar to enforce his assistant's hand between the bar and the piston of the equipment.",1,9,2,1,34,2,3,"['raise', 'chamber', 'operator', 'assistant', 'remove', 'drill', 'bar', 'drill', 'machine', 'weight', 'approx', 'hold', 'top', 'stroke', 'assist', 'jib', 'move', 'horizontally', 'operator', 'jib', 'bottom', 'slide', 'move', 'top', 'drill', 'bar', 'cause', 'assistant', 'bar', 'enforce', 'assistant', 'hand', 'bar', 'piston', 'equipment']",raise chamber operator assistant remove drill bar drill machine weight approx hold top stroke assist jib move horizontally operator jib bottom slide move top drill bar cause assistant bar enforce assistant hand bar piston equipment
22,2016-10-02,1,3,2,2,4,1,2,16,"While aligning the right bracket of tower N ° 32, when releasing the tension applied by the tirford of 1.5 Tn, when pushing the lever towards the tension release point, it returns by mechanical effect overcoming the resistance of the lineman operator and reshaping the the hands of the assistant beating the assistant in the frontal region.",1,10,2,4,38,2,4,"['align', 'right', 'bracket', 'tower', 'release', 'tension', 'apply', 'tirford', 'push', 'lever', 'towards', 'tension', 'release', 'point', 'return', 'mechanical', 'effect', 'overcome', 'resistance', 'lineman', 'operator', 'reshape', 'hand', 'assistant', 'beat', 'assistant', 'frontal', 'region']",align right bracket tower release tension apply tirford push lever towards tension release point return mechanical effect overcome resistance lineman operator reshape hand assistant beat assistant frontal region
23,2016-02-15,2,2,2,2,2,1,3,16,"By loosening the A30-29 truck's steering cylinder bolt using power cable and socket, with the force exerted in favor of the equipment, the bolt suddenly retired and the employee hit his hand against the structure of the equipment, causing injury.",1,2,15,2,6,3,1,"['loosen', 'truck', 'steer', 'cylinder', 'bolt', 'use', 'power', 'cable', 'socket', 'force', 'exert', 'favor', 'equipment', 'bolt', 'suddenly', 'retire', 'employee', 'hit', 'hand', 'structure', 'equipment', 'cause', 'injury']",loosen truck steer cylinder bolt use power cable socket force exert favor equipment bolt suddenly retire employee hit hand structure equipment cause injury
24,2016-02-14,1,6,1,1,2,1,2,16,"An operator of the G-2142 deslaminadora in section 75 was unlocking a sheet of zinc stuck so that it can enter the slide of the stacking table, for this requires the support of Mr. Mollares and this helps to hold the sheet to place it in the entry chute to the slide. At the moment of releasing the blade, it tilted and brushed Mr. Mollares's left leg. The collaborator went to the nearby eyewash for cleaning and immediately to the medical center.",1,2,14,4,5,3,1,"['operator', 'deslaminadora', 'section', 'unlock', 'sheet', 'zinc', 'stick', 'enter', 'slide', 'stack', 'table', 'require', 'support', 'mollares', 'help', 'hold', 'sheet', 'place', 'entry', 'chute', 'slide', 'moment', 'release', 'blade', 'tilt', 'brush', 'mollares', 'leave', 'leg', 'collaborator', 'nearby', 'eyewash', 'clean', 'immediately', 'medical', 'center']",operator deslaminadora section unlock sheet zinc stick enter slide stack table require support mollares help hold sheet place entry chute slide moment release blade tilt brush mollares leave leg collaborator nearby eyewash clean immediately medical center
25,2016-02-15,1,6,1,1,2,1,1,15,"The operator was willing to manually displace the zinc sheet adhered to the aluminum cathode. At the moment when the blade was detached, the blade was released from the cathode, bending and grazing the collaborator's right hand, producing 2 small cuts at the knuckles of the fingers, the worker made use of his gloves. leather. The worker is transferred to the medical unit for first aid.",1,2,15,2,6,3,1,"['operator', 'will', 'manually', 'displace', 'zinc', 'sheet', 'adhere', 'aluminum', 'cathode', 'moment', 'blade', 'detach', 'blade', 'release', 'cathode', 'bend', 'graze', 'collaborator', 'right', 'hand', 'produce', 'small', 'cut', 'knuckle', 'finger', 'worker', 'make', 'use', 'gloves', 'leather', 'worker', 'transfer', 'medical', 'unit', 'first', 'aid']",operator will manually displace zinc sheet adhere aluminum cathode moment blade detach blade release cathode bend graze collaborator right hand produce small cut knuckle finger worker make use gloves leather worker transfer medical unit first aid
26,2016-02-13,1,1,2,1,1,1,1,16,"At the end of lunch in an enabled place on the side of the winche control room. He gets up and after a short walk he slips and sits with the floor and making contact with the left knee and not taking importance in the rest of the guard, when the guard is finished, he goes to safety and communicates the fact, for which reason it is derived Natclar, for your attention.",1,2,13,3,5,3,1,"['end', 'lunch', 'enable', 'place', 'side', 'winche', 'control', 'room', 'get', 'short', 'walk', 'slip', 'sit', 'floor', 'make', 'contact', 'leave', 'knee', 'take', 'importance', 'rest', 'guard', 'guard', 'finish', 'safety', 'communicate', 'fact', 'reason', 'derive', 'natclar', 'attention']",end lunch enable place side winche control room get short walk slip sit floor make contact leave knee take importance rest guard guard finish safety communicate fact reason derive natclar attention
27,2016-02-15,1,3,2,1,3,1,2,16,"At the end of the rock break at the intersection of the ramp -1055 and the opening of the access to the ventilation chimney, the master loader identifies rocks on the mesh proceeding to unload them, at the end he decides to verify if there are still remains by positioning himself under the line of fire, at which time a fragment of rock falls - 5x4x3cm .; 180 gr - between the cocada mesh impacting between the lens and the helmet causing the injury.",1,2,15,2,6,3,1,"['end', 'rock', 'break', 'intersection', 'ramp', 'open', 'access', 'ventilation', 'chimney', 'master', 'loader', 'identify', 'rock', 'mesh', 'proceed', 'unload', 'end', 'decide', 'verify', 'still', 'remain', 'position', 'line', 'fire', 'time', 'fragment', 'rock', 'fall', 'cocada', 'mesh', 'impact', 'lens', 'helmet', 'cause', 'injury']",end rock break intersection ramp open access ventilation chimney master loader identify rock mesh proceed unload end decide verify still remain position line fire time fragment rock fall cocada mesh impact lens helmet cause injury
28,2016-02-16,1,1,2,1,4,1,1,16,"The worker carried out his work at level 2940, stop 896; and placed metal mesh on the basket (SOIL HALF) of the Scissor the mesh falls and hits the back of his right hand.",1,2,16,6,6,3,1,"['worker', 'carry', 'work', 'level', 'stop', 'place', 'metal', 'mesh', 'basket', 'soil', 'half', 'scissor', 'mesh', 'fall', 'hit', 'back', 'right', 'hand']",worker carry work level stop place metal mesh basket soil half scissor mesh fall hit back right hand
29,2016-02-16,2,7,2,2,3,1,1,16,When using the griff wrench to unscrew the rod from the probe the key came to move by pressing the employee's finger against the probe.,1,2,16,6,6,3,1,"['use', 'griff', 'wrench', 'unscrew', 'rod', 'probe', 'key', 'come', 'move', 'press', 'employee', 'finger', 'probe']",use griff wrench unscrew rod probe key come move press employee finger probe
30,2016-02-17,1,3,2,1,2,1,1,16,"When the plant operator was semi-kneeling when lifting the lid or gate (15 kg) of the distributor box of the secondary mill No. 4 and No. 5, his right knee slips due to the presence of debris spilled on the platform or floor (Grating) - which gave him an extra effort in his left leg, generating a muscle contracture.",1,2,17,7,6,3,1,"['plant', 'operator', 'semi', 'kneel', 'lift', 'lid', 'gate', 'distributor', 'box', 'secondary', 'mill', 'right', 'knee', 'slip', 'due', 'presence', 'debris', 'spill', 'platform', 'floor', 'grate', 'give', 'extra', 'effort', 'leave', 'leg', 'generate', 'muscle', 'contracture']",plant operator semi kneel lift lid gate distributor box secondary mill right knee slip due presence debris spill platform floor grate give extra effort leave leg generate muscle contracture
31,2016-02-19,1,3,2,1,2,1,1,16,"At level -1095 - Access 6 A2 - at times when the engineer trainee planamieto entered to verify the amount of split set placed by the Scissor 184 in the support - holding his notebook and pen in his left hand - while inspecting the roof of the work, he lost the balance when stepping on a rock holding the right hand on a rock on the floor causing the injury. The worker at the time of the accident wore gloves but did not use them because it made it difficult to take notes.",1,2,19,1,6,3,1,"['level', 'access', 'time', 'engineer', 'trainee', 'planamieto', 'enter', 'verify', 'amount', 'split', 'set', 'place', 'scissor', 'support', 'hold', 'notebook', 'pen', 'leave', 'hand', 'inspect', 'roof', 'work', 'lose', 'balance', 'step', 'rock', 'hold', 'right', 'hand', 'rock', 'floor', 'cause', 'injury', 'worker', 'time', 'accident', 'wear', 'gloves', 'use', 'make', 'difficult', 'take', 'note']",level access time engineer trainee planamieto enter verify amount split set place scissor support hold notebook pen leave hand inspect roof work lose balance step rock hold right hand rock floor cause injury worker time accident wear gloves use make difficult take note
32,2016-02-21,1,1,2,3,4,1,2,16,"The worker Yaranga while working with barretilla in Stop 996, Level 3300. While unloading metal mesh, on the basket of an ampoloader with his operator Juan barretilla is embedded on safety boot, reacting immediately the worker removing the limb with force and managing to release the foot, but producing a wound on the right foot.",1,2,21,4,6,3,1,"['worker', 'yaranga', 'work', 'barretilla', 'stop', 'level', 'unload', 'metal', 'mesh', 'basket', 'ampoloader', 'operator', 'juan', 'barretilla', 'embed', 'safety', 'boot', 'react', 'immediately', 'worker', 'remove', 'limb', 'force', 'manage', 'release', 'foot', 'produce', 'wind', 'right', 'foot']",worker yaranga work barretilla stop level unload metal mesh basket ampoloader operator juan barretilla embed safety boot react immediately worker remove limb force manage release foot produce wind right foot
33,2016-02-20,1,4,2,5,5,1,2,16,"Approximately 1:40 p.m. in circumstances that shotcrete was launched in the Nv. 1680 BP 255 of the OB2B, after finishing the launch of the first mixkret 113, the assistant of the alpha, Mr. Albertico asks the operator of the mixkret 113, Mr. Jhony to move the mixkret 116, so that access, finding in the cockpit of the mixkret the operator of the Launcher team, Mr. Danon asks him to come down. When the team started, he noticed that Mr. Danon (injured) was imprisoned between the team (height of the left rear rim) and the Hastial de la Labor.",1,2,20,3,6,3,1,"['approximately', 'circumstances', 'shotcrete', 'launch', 'finish', 'launch', 'first', 'mixkret', 'assistant', 'alpha', 'albertico', 'ask', 'operator', 'mixkret', 'jhony', 'move', 'mixkret', 'access', 'find', 'cockpit', 'mixkret', 'operator', 'launcher', 'team', 'danon', 'ask', 'come', 'team', 'start', 'notice', 'danon', 'injure', 'imprison', 'team', 'height', 'leave', 'rear', 'rim', 'hastial', 'labor']",approximately circumstances shotcrete launch finish launch first mixkret assistant alpha albertico ask operator mixkret jhony move mixkret access find cockpit mixkret operator launcher team danon ask come team start notice danon injure imprison team height leave rear rim hastial labor
34,2016-02-15,2,5,1,1,2,1,1,16,The employee was clearing the pipe when he tapped his right thumb against the flange causing little trauma.,1,2,15,2,6,3,1,"['employee', 'clear', 'pipe', 'tap', 'right', 'thumb', 'flange', 'cause', 'little', 'trauma']",employee clear pipe tap right thumb flange cause little trauma
35,2016-02-18,2,5,1,1,3,1,3,20,"When replacing the telescopic expansion joint of the HDPE pipe of the storm drainage pumping system, it reports that the piece involuntarily moved when it was positioned in the holder, pressing its finger against the holder, causing a wound 1 right chemo.",1,2,18,5,6,3,1,"['replace', 'telescopic', 'expansion', 'joint', 'hdpe', 'pipe', 'storm', 'drainage', 'pump', 'system', 'report', 'piece', 'involuntarily', 'move', 'position', 'holder', 'press', 'finger', 'holder', 'cause', 'wind', 'right', 'chemo']",replace telescopic expansion joint hdpe pipe storm drainage pump system report piece involuntarily move position holder press finger holder cause wind right chemo
