Injury Level,Final Narrative
1,Employee climbed up on a handrail and slipped while cleaning snow off of the framework and guard of a chip belt conveyor. Employee suffered amputation of the right index finger.  Employee was seen at Kootenai Health and was released as an out-patient.
2,"An employee was working on a vehicle being lifted off the ground.  He stepped off the back and fell approximately 4 feet to the ground below.  When the employee hit the ground, he fractured his wrist and was taken to Grady Memorial Hospital where he received surgery."
1,"On or about 1/4/15 at 6:05 pm, an employee was preparing to clean a room and put a door stopper at the room door. The stopper slipped catching her hand between the door and its frame resulting in the amputation of her left index finger.  Employee was taken to the hospital to reattach the finger."
2,"On or about January 4, 2015, an employee was injured while running a gas sample. The employee was dipping out a sample with a sample cup using tongs. When he put the cup in, the hot metal splashed on him, causing burns to the ring finger and little finger on his right hand.  The employee was admitted to the KU Medical Center in Kansas City, Kansas."
2,"A worker slipped on an alcohol foam rug and fractured his hip on January 4, 2015.  He was hospitalized for 3 days and had therapy."
2,Employee was loading plastic pipes onto a utility trailer.  He jumped off the trailer and broke his ankle.
1,A machine operator experienced a fingertip amputation while troubleshooting a jam in the Samuel Strapper machine.
2,Worker tripped over a box at his work station.  He was hospitalized with a fractured bone by his knee.
2,"In a unit office/housing unit where inmates are housed, an employee was seated at a desk when an inmate walked into the office. The inmate punched him first in the face and then repeatedly punched his head. His nose was injured and he lost consciousness. He was hospitalized with a concussion."
2,An employee was operating an electric ride on powered industrial truck (PIT). Employee became pinned between the PIT and a steel racking system while attempting to avoid hitting another employee.
2,"A fire suppression system inadvertently went off, causing a white cloud.  Employees working on a scaffold, 24 feet above the ground, scrambled to avoid the cloud. While descending a ladder, an employee slipped and fell 10 to 12 feet."
1,Employee was working on a fluid end expendable pump using a torque wrench when his left ring finger got caught in between and was amputated - halfway through the nailbed.
2,"Employee was using her gloved hands to clean the glue-spreader machine while it was operational. The doctor rollers were not open, and the employee's glove got caught between the rollers, pulling her hand inside. Her right-hand ring and middle fingers were crushed."
2,A worker splashed caustic water on his left thigh and hand while cleaning the equipment on Line 3.  He was admitted to the hospital the next day. 
2,An employee was climbing stairs to a shore tank to conduct temperature measurements.   The employee fell from the stairs approximately 20 feet to the bottom of the tank.
2,"Employee arrived at client's home, slipped on ice, and bumped her head."
1,"While stairs were being installed using a sky trak at the Plano Assisted Living facility, an employee on the ground who was directing the stair placement got his left index finger caught between a metal stud and the stair.  The employee was transported to Methodist Richardson and had surgery the next day to amputate his finger at the knuckle."
2,"An employee walking from the parking lot en route to his assigned work area slipped, tearing his quadriceps tendon. The employee was discharged from the ER, but later returned to Lake West hospital that evening and was admitted. The employee has since been scheduled for surgery."
2,A tube hill attendant at a winter resort snow tubing hill rode a tube down the hill.  On the way down the tube crossed lanes causing it to flip.  The employee was ejected and suffered a lacerated spleen resulting in hospitalization.
2,Employee's face was burned by hot plastic exploding from an injection molding machine.
1,"On or about January 5th, 2015,at approximately 1:30 pm, an employee was greasing a bearing on the Buffalo roller mill in preparation to roll corn for cattle feed.  The roller mill was being driven by a PTO.  The employees left hand was pulled by a chain into a sprocket, amputating the left index finger.  The employee was transported to Great Plains Regional Hospital with the amputated finger for treatment."
2,"Employee was using a handheld grinder when the blade broke, cutting his left arm above the wrist."
1,"A valve on a metal detector closed on an employee's finger, causing an amputation."
2,The employee's arm was caught at the head roller of raw material hopper Line #1.  The arm was surgically amputated to free him from the bagging machine.
2,An employee received freezing tissue-related injuries when she was sprayed with liquid oxygen while filling portable tanks.
2,"On or about 1/5/15 at 6:30 a.m., an employee was riding a horse back to the barn after completing morning exercises. The horse reared up, could not withstand its weight, and fell over.  This resulted in injury to the employee, breaking his femur bone."
2,Employee slipped and fell fracturing a hip.
2,Snow sport ski instructor was skiing with a guest on the Roundhouse Slope when the employee fell breaking a hip.
1,An employee was exposed to a pinch point hazard when his left thumb was caught between the ST-80 and another metal object.
2,Employee's right foot was crushed and all of the toes had to be amputated at the hospital. He will require a few days of hospitalization and rehab afterwards. The job required pulling back and laying down pipe.
2,"An employee who had just parked was walking through the parking lot toward the building when she slipped and fell on ice, fracturing two ankle bones. She was transported to the hospital and had surgery the same day."
2,"A worker was installing a retaining wall next to Highway 285 when a gust of wind displaced a tree next to the highway. The tree struck the worker, resulting in back, pelvis, and ankle injuries."
2,Employee received electrical burns to the left hand while working on an electrical box.
2,"An employee climbing the loader stairs in the grinder room caught his foot on the metal step tread, fell backward, and cracked ribs."
1,"An employee, who had gloves on, was using a powered drill tool to drill into an unsupported block of wood.  The employee was holding the block of wood in his hands. When the employee actuated the drill, the glove got caught, resulting in a partial amputation of the thumb."
2,"A roofer slipped on the ridge of a roof while securing roofing felt paper.  When he slipped, his nail gun came into contact with his work boot and activated, firing a nail through the boot and into his big toe.  The worker was admitted to Carney Hospital for several days during which several surgeries were performed."
2,"On or about 1/5/15 at 5:30 PM, an employee was admitted to the hospital to be treated for swelling and an abscess."
2,"On or about 1/5/15, at 7:45 AM, an employee supervising the first shift noticed material buildup in the conveyor and decided to clean it.  She got caught in one of the belt conveyors, breaking both her bones from her forearm."
2,"Employee 1 and employee 2 were operating a welding robot in the fabrication department.  Employee 1 was loading a fin bank into the welding cell and was walking backwards into the welding cell while operating an overhead crane. Employee 1 stepped backwards into an open pit and fell approximately 8 feet. Employee 1 sustained the following injuries: fractured pelvis at both hip sockets, fractured ribs, fractured right elbow, fractured right shoulder.  Employee 1 is hospitalized at University Hospital in Columbia, Missouri."
2,"An employee was wrapping meat using an automatic wrapper and putting the meat into a tall/mini shelving rack in the refrigerated market/area. The employee then transported the meat to the sale floor area.  On her way back to the market area, the employee slipped and fell to the floor.  The floor was wet from condensation."
2,Employee using a table saw amputated his right index finger and his right middle finger. 
2,"Employee was walking, rolled on his ankle, and broke his ankle."
2,Employee injured her hip and was hospitalized after she slipped and fell on the wet floor.
2,"On Monday, January 5, 2014, an employee slipped on ice while walking to his work truck at a job site.  The employee sustained an injury to his neck and was admitted to the hospital that day."
2,Employee was walking from her car and slipped and fell in the parking lot. Employee was transported to the hospital by ambulance and was admitted.
1,"On or about January 5, 2015, an employee suffered a partial amputation of the fingertip while using the patty-making machine."
1,"On or about January 6, 2015, an employee was injured while attempting to remove a part that was stuck in the door of the Wheelabrator machine. Once the part was released from the door, the door shut on the employee's finger and amputated the tip of his left index finger."
2,Employee was using a portable hand grinder to cut a steel pipe. The grinder kicked back and lacerated the employees knee cutting an artery.
2,"An employee entered a storage container that contained painting materials at the work site.  Upon entering the container, the employee lit a cigarette in the container, and an explosion occurred shortly afterwards.  The employee was burned on the face and hands.  The employee was admitted to the hospital for treatment of his burns."
1,A maintenance employee received a fingertip amputation while troubleshooting a stuck clamp on a cutting machine on the mechanical spinning line LH2.
1,Employee suffered an amputation of the tip of his left-hand index finger in a pinch point while conducting material handling operations that involved rolled steel on a support stand.
2,A stack of 12 x 4 foot panels of sheet rock in the hallway of an under construction building fell on the employee and broke his leg.
1,"Employee's left-hand distal middle finger was crushed by a pallet jack. When injured, the employee was operating the pallet jack alone while moving an 1800-pound tote container."
2,"Employees were moving equipment into the trailer and removed the stairs to the trailer.  Upon exiting the trailer, an employee forgot the stairs were removed and fell about 3 feet to the ground.  Employee has 2 broken ribs, broken scapula, and a dislocated shoulder."
2,"On Tuesday, January 6, 2015, an employee was struck in the stomach by bushing that was sticking out of a rotary table while operating levers."
2,An employee fell from a stationary piece of equipment while changing a conveyor's pulley belt.  The fall was about 8 feet. The employee was hospitalized with a broken leg.
2,"A worker was hospitalized on 01/06/2015 at 3:30 p.m. After doing some clean-up work on a roof, he fell approximately 8.5 to 9 feet while descending a ladder. The worker fractured his leg  and was hospitalized overnight at Athens Regional Medical Center. He underwent surgery, at which time a pin was inserted in the tibia of the fractured leg."
2,"On January 6, 2015, an employee was working from a ladder, cutting a metal tank into scrap metal.  The employee stepped off the ladder and onto a tank where he slipped and fell. The employee fractured his right ankle and was admitted to the hospital for surgical repair of the fracture."
1,Employee sustained an amputation of two fingers when his hand was caught in the belt and pulley of the hammer mill.
2,"An employee slipped and fell on ice and bumped her head. She was sent to the emergency room, and admitted to the hospital as a precaution."
2,Employee was cutting a 10-foot length of 6-inch PVC pipe into 10-inch sections. He was using a chop saw that was on a pivot because the tool he had been using would not cut the pipe. The employee was using his hand to hold the pipe.  His hand got pulled into the blade.
2,Employee fell from a ladder after removing one foot from the ladder and placing it on a merchandise hook approximately 9 feet above the floor. He landed on his feet and injured his left knee.
2,"Employee received burns to his left index finger and portion of his left hand, while performing routine service on a plastic mold injection machine. Employees needed hospitalization at University of Rochester Strong Hospital."
2,"Employee was walking in the warehouse and was struck by a forklift that was carrying insulation. The employee's head hit the ground, and the employee was hospitalized."
2,"An employee fell on ice, causing an abrasion on his left elbow. The abrasion was followed by cellulitis and a bursal abscess."
2,An employee sustained battery acid burns to the face while attempting to start an air compressor on the back of a service vehicle by boosting the battery with jumper cables.
2,An employee was injured when the brakes on a seven-car string of loaded boxcars let loose. The cars rolled into a four-car string of empty boxcars.  The impact knocked an employee off the four-car string and he fell on the ground. The employee was hospitalized for lacerations.
2,The worker stepped on a floor joist and fell 10 feet. The worker sustained a broken leg and was hospitalized.
2,"An employee was offloading a tractor trailer when the forklift being operated by a Pika Energy employee picked up a piece of cargo and pinned the employee between the cargo and the trailer wall, resulting in numerous serious injuries."
2,"On January 6, 2015, a worker sustained a fracture to the right ankle after slipping on ice at a construction site located at 17400 N. 84th Street, Lincoln, NE  68517."
2,Employee was injured while repairing a forklift in the receiving department. The employee was caught between the forklift's mast and cage while reconnecting a hose. The employee was hospitalized overnight with a crushed or bruised vertebrae.
2,"The employee was working from a stage table, approximately 2 to 3 feet above the ground.  The employee fell, breaking his hip."
2,"Employee was collecting shoes for her customer in the shoe stockroom when she tripped over a fitting stool sitting on the floor. She fell to the floor, fracturing her right ankle.  She was carrying four boot boxes and could not see directly in front of her."
2,"Two employees of 4 Swift Service passed out in a tank that was being cleaned.  Employees proceeded into a tank which had been closed, but was opened by an employee.  Employees went inside to clean, but were supposed to clean the outside of the tank only. Both employees were transported to the hospital, but only one employee was admitted."
2,Employee's garbage truck struck electrical lines hanging low in the street.  Employee climbed up approximately 10 feet to untangle the wires when he fell to the ground.  He broke his left leg and has small fractures in his neck. He was admitted to the hospital.
2,"On January 6, 2015, at approximately 11:30 p.m., an employee was performing a change over in the secondary turn cell when the clamp/unclamp feature was activated. The employee's fingertips on both hands were caught behind the chuck of the lathe. On the left hand, the third and fourth fingers were amputated."
2,Employee's left thumb and finger were injured while using a router.
2,Employee was cleaning paper underneath the Core Machine while it was running. The belt drive snagged her arm and broke it.
2,"An employee was visiting a patient's home. Upon entering the fence of the patient's yard, one of the patient's dogs attacked the employee. The employee received several dog bites."
1,The employee was installing block on a V8 line. The employee had been using a lifting chain and shipping nipple to place a V13 block on a shipping skid. The employee's hand got caught between the lifting chain and shipping nipple when the weight shifted and the chain slipped. The tip of the employee's left ring finger was amputated between the end and the first knuckle and the left middle finger was fractured.
2,Employee operating a forklift was injured when he stuck his arm out of the forklift cage and it was struck by a company vehicle.
2,"Employee was pulled into a machine, causing a broken arm. Hospitalized for surgery."
2,"Employee received a broken right tibia when he entered a belly dump trailer to remove coal ash that was stuck to the inside walls. The dump gates lost power, causing them to close on the employee's leg."
2,"An employee was using a circular saw to cut a piece of aluminum to make repairs on a dump truck when the saw kicked back, striking the employee on the right side of the neck.  Sutures were required, and the employee was admitted to the hospital."
2,"Employee was using a 5-6 ft extension ladder to access an exterior light fixture. Upon removing the light fixture, the fixture broke free of the wall and fell towards the employee's face. Employee attempted to dodge the falling fixture, causing him to lose his footing on the ladder. He fell from the ladder and was hospitalized with fractures to both bones in his right ankle."
2,Worker was burned by hot ash that blew on his face when he opened the ash hopper panel.
1,While testing a main rotor head an employee reached in to remove a piece of tape and the hinge started to move into the fold position.  The employee's fingertip was in a pinch point at the time and the tip of the finger was amputated at the first knuckle.
2,"Employee was constructing a wooden pallet skid lift when the nail gun he was operating fired twice and injured his finger. The injury was underneath the employee's thumb. The employee was transported to the hospital, stayed overnight, and had surgery on his finger."
2,Employee fell on ice and struck his head while delivering a parcel.
2,"On or about 1/7/2015 at 12:00 PM, employee working on a construction site was using a metal rebar to repair a broken hinge on another company's truck that was on site delivering soil material.  Employee was standing at ground level while attempting to bend the rebar. The metal rebar broke, resulting in the employee falling to the ground. Employee sustained fractures to his right hip; he was hospitalized and had emergency surgery."
2,"An employee tripped on a floor mat, fell, and fractured the hip resulting in hospitalization to surgically repair the hip fracture."
1,An employee's finger was amputated in the Meat Processing department while using a band saw to cut meat.
2,An employee fell in the ladies restroom fracturing the femur in seven places. She was hospitalized as a result.
2,"Employee was operating a horizontal drilling machine when the drive shaft came loose and hit the guard. This broke the guard, which then hit the employee's seat.  The employee was knocked off the machine."
2,"Employee slipped on black ice and fell in the parking lot on Jan 7, 2015 @ 8:00 am.  He broke his ankle and had to have surgery."
2,"On Wednesday, 01/07/2015 at 3:45 a.m., an employee working on the 180 L Differential Assembly machine and the conveyor belt system dropped a wrench. In an attempt to retrieve the wrench from between the conveyor system and the 180 L Assembly machine, her right arm was caught by the 180 L machine, resulting in a laceration and an overnight hospital stay."
2,"Employee was crushed by falling sheetrock while it was being moved at a renovation site located at 205 Boulevard, Roland, Oklahoma. The sheetrock was leaned in an upright position, totaling 17 sheets or 1,360 pounds. The material fell on the employee's legs and crushed them."
2,"Employee fell 8 feet from a ship's ladder, injuring his head and back. He required in-patient hospitalization."
1,"The worker was cutting the tip of a tube of material with a utility knife. The knife slipped and the tip of the worker's left index finger was cut off. 
Urgent care stitched on the tip of finger and there was no lost time. The worker was wearing gloves."
2,"Employee #1 was removing coffee beans from the hopper while the screw conveyor was off. When Employee #2 went to a separate room to turn on the roaster, the screw conveyor was also turned on. Employee #1 was still removing coffee, and the screw conveyor cut off his right hand at the wrist."
1,"An employee was attempting to close a door to a loading booth he was working from. The door closed on his hand, resulting in an amputation of his right-hand little fingertip."
2,An employee sustained a broken left tibia from a slip and fall while walking back to the UPS truck after picking up a package.
2,Employee sustained crushing foot and knee injuries when a 4' x 6' steel semi-truck loading dock plate fell on top of the employee. The event required hospitalization of employee who is currently undergoing knee surgery and estimates are he will be in the hospital for two to four days.
2,"Employee was descending a 10-foot ladder and was about halfway down when he missed a rung and fell off the ladder. Employee landed on his left side and hit his head on the paved surface below.  At the time of the incident, the employee was on the ladder outside removing sealant from the wall of the Metropolitan Medical Facility.  The employee was transported and admitted to Samcee Hospital. The employee received stitches in his head and sustained a lower back fracture."
1,"An employee had his ring finger amputated when a heavy part being lifted and strapped on a forklift fell off. This caused the part to fly up on the other end where his hand was placed, striking his hand against a guillotine blade."
2,"On January 7, 2015, employee sustained a hand injury while working on or near a conveyor belt while performing maintenance activities.  The employee was admitted to the Medical Center of the Rockies in Fort Collins on the same day."
2,"An employee suffered an amputated thumb and potentially finger(s) from an injury that occurred on January 7, 2015."
2,Laundry employee was sorting laundry and tripped over laundry on the floor.  Employee fell onto the floor and fractured the right hip.
2,Employee cut his right hand between the thumb and index finger while using an alligator shear machine. Employee was taken to the hospital with possible nerve damage. Surgery was required.
1,"On 01/07/15 at 6:45 pm, an employee's  middle index finger was amputated while unclogging a pipe of the dust collector system."
2,Employee was hospitalized due to a slip and fall in parking lot resulting in a fractured leg.
1,Employee suffered a partial amputation of the thumb while working with a band saw.
2,"On January 7, 2015, at approximately 12:00 p.m., an employee was using a ladder to install an electrical conduit to be used for the new emergency exit signs, which were to be installed in the warehouse as well. The employee fell off the ladder and was taken to Del Sol Medical Center where he was admitted."
2,Employee's finger was amputated when he placed his hand in a pinch point during a test.
2,Employee inserting food product (chicken) into an oven suffered burns when the employee came in contact with the oven door.
2,Employee fell approximately 10 feet from a ladder while working on a tanker truck hatch. Employee injured the wrist and face.
1,"An employee was grinding a long seam of a steel shell using a handheld grinder.  Completing work for the day, the employee pulled back on the grinder and dropped it, causing it to kick back and hit his right index finger.  The wound was immediately wrapped and the employee was brought to the hospital.  The employee had surgery to amputate a portion of his finger."
2,Employee fell from a ladder and was hospitalized.
2,"Employee was injured in the fish preparation area when he placed his hands on the chain puller to unload racks from the precookers. The second and third fingers on his left hand were caught in the chain, and his fingers were crushed."
2,An employee was hospitalized for 3 days after his arm was caught in a conveyor belt machine on 1/7/15. 
2,Employee was power washing a building and the hose had disconnected causing severe facial lacerations. Employee was admitted to the hospital.
2,"At the No. 2 White Liquor Clarifier Tank, two employees were working on a mixer on top of a large tank to replace the gear box that rotates the mixer.  The employees removed five of the eight bolts from the flange when the flange fractured through the bolt holes of the three remaining bolts causing the unit to rotate about 10 degrees (6""). The gear housing struck one of the employees on the right leg and fractured his femur."
2,An employee working in the parts department was dragging boxes from the outside to the inside of a warehouse when the boxes got caught on a stack of tires.  The employee lost his balance and fell to the ground.  The employee was transported by ambulance to Baylor Hospital Dallas where he was hospitalized with a hip fracture.
2,Employee was working on the PACO Re-Cutter Single Spin when the right index finger was amputated.  EMS took the employee to York Hospital.
2,An employee was hospitalized on 01/07/2015 after he fell from a ladder and broke a rib.
2,"Company employee was behind the store preparing to receive goods from a delivery truck.  While attempting to guide the truck back into the company's offloading dock, he was pinned between the truck and a railing."
1,"Employee was utilizing a portable band saw ""laydown saw""  to cut aluminum to be used on belt trailers when he cut the tip of his middle finger on the right hand."
2,"Employee spilled water on the floor while making coffee. Employee then slipped and fell, breaking her left upper arm requiring surgery."
2,"Employee was on the side of the derrick untying tubular when his fast line became caught up in his SRL. The employee was pulled away from the ladder.  The SRL stopped and so did the anchor.  Therefore, no fall resulted. The employee received contusions to the head, ribs, and chest area. He also suffered bruising to the brain and lungs and received six stitches to the forehead.  He did not lose consciousness."
1,Employee received a crushing injury to the end of the thumb that required reconstructive surgery.
2,"On or about 1/8/15 at 12:10 a.m., an employee was working between two boxcars located on a private railroad when the cars began to move.  The employee tried to get out from between the cars when one of the cars pinched his left foot, resulting in fractures."
1,An employee was cutting a piece of wood when he slipped and made contact with the rotating blade on a DeWalt miter saw.  The employee cut off the tip of his right index finger.  The employee was taken to UPMC East for treatment.
1,"On January 8, 2015, an Abilene Reporter-News employee was working with the large printing press in the company's press room. He stuck his hand into the roller system and had the skin on his right hand removed (""gloved"") by the machine. The employee was taken to Hendricks Medical Center in Abilene, Texas, where he was awaiting surgical intervention."
2,Employee was adding a steel bar to the induction furnace when it flared up and splashed hot metal on the employee.  Employee was taken to Lehigh Valley Hospital. 
2,"Employee was troubleshooting a monorail lift station.  A pneumatic hoist rail on a cylinder was lowered to troubleshoot the equipment. It caught the tip of the employee's boot, fracturing two toes on the right foot."
1,"On 01/08/15, employee suffered an amputation of the left index finger while operating a mulch machine at a well site."
2,An employee slipped and fell on  ice while walking in the yard to retrieve parts for a machine.
2,"Employee reached under the guard on wrapping equipment to remove a bag that was snagged. He caught his finger in the chain and sprocket, cutting the tip of the finger."
2,"Employee was removing concrete debris when he removed a piece of plywood that had been secured to cover a floor hole. Upon removal, the employee stepped and walked through the hole, falling 17 feet to the lower level."
2,Employee used a derrick with a tong to unload a utility pole out of a storage area on the ground. The pole rolled onto the employee's leg as he tried to reorient the tong. The left fibula was broken.
2,"Around 10 am yesterday morning, an employee fell from an aerial lift while working on a pellet unit."
2,Employee received an embedded tack in her thigh when walking by a pintacker. Employee had the micro pin tack surgically removed from her thigh and was admitted to the hospital overnight.
2,"Employee working on a ladder was knocked off and landed in a pile of construction debris. Employee sustaineda broken collarbone, eye socket, and skull."
2,An employee fell from an elevated structure.
2,"At the facility shop area, an employee tripped over his feet and fell on an industrial sized valve stem used in hydrofracking (a piece of sharp equipment) and lacerated his abdomen.  This injury required hospitalization for two days."
2,An employee was working on the second floor of the inside section loading material. He fell out of a window opening onto the pavement and fractured his wrist.
2,"Employee was working from the derrick monkey board latching and unlatching tubing. As he was unlatching the elevator that has horns and a locking mechanism, the employee's harness got caught on the horns. The horns pulled the harness and pulled him down causing small fractures in his knees that required surgery."
2,The employee amputated her right pinky finger when a trash room door shut on her finger.
2,"Employee was exposed to fall hazards when he fell 6 feet from a ladder to the ground level. Employee was not wearing proper 
PPE when working at the frac tank located to the rear of the winch truck at the yard."
2,Employee working from a ladder on live electrical circuitry received an electrical shock during testing and service installation. The employee fell from the ladder.
2,"Employee slipped and fell, fracturing her left hip. The facility had contractors replace the ceramic floor tile, and the employee slipped and fell on a walking and working surface."
2,"On or about January 8, 2015, an employee fell and broke her leg in two places when she slipped on ice in the parking lot.  This resulted in an overnight stay in the hospital."
2,"An employee was driving a Toro cart, lost control, and hit a tree.  The employee was unconscious and was air-transported to Atlanta Medical Center where he was admitted in critical condition."
2,"On January 8, 2015, an employee's hand was injured when a gate came down on his hand while pushing birds out of their nests to gather eggs. The employee was admitted to the hospital on January 9, 2015."
2,Employee installing form work on a concrete wall was struck by a forklift.
2,The injured employee was hit by a forklift below the knees. He sustained a broken left leg.
2,"On or about January 8, 2014, at 10:40 p.m., an employee was hospitalized for burns after cleaning the juice processing tank. He was burned on his forehead, abdomen, hands, thighs, and ankles when hot steam blew out of the tank, struck him, and forced him off the 8-foot ladder that he was using to perform his daily task."
2,An employee was injured on a reach truck.
2,"On January 8, 2015, at around 11:45 am, an employee working at 22nd Terrace and 3rd Avenue SW, Miami, Florida, was performing tree-cutting operations on a bucket. While cutting tree limbs, he cut his hand with a  chainsaw. The employee was admitted to the hospital to determine if ligament damage had occurred."
2,Employee fell approximately 10 feet while climbing down an extension ladder located inside a 6000-gallon tank.
2,"On January 8, 2015, at approximately 8:40 PM, an employee's leg was caught between a tugger and rolling stock another employee was moving.  The employee was taken to the hospital where he was admitted due to a possible fracture and swelling."
2,Maintenance employee was adjusting the level of shipping roll-up door #34 when his right middle finger became caught in the chain and sprocket.
1,Employee's finger got caught in the jaws of the bagging machine located in Line 3 of the plant. This resulted in the partial amputation of the tip of the left index finger.
