,Level,input_text_clean
46,3,manual tool operator cleaned spatula spear one window boiler time force action hit window frame causing injury little finger left hand operator epp boiler cleaning
47,4,others locomotive operated maperu personnel directed wagon loaded ore waste bin next waste bin patrol car back wagon moment passed change track left rear wheel patrol car leaf rail advancing locomotive leaving patrol car tilted ahead assistant motorist traveled alone patrol car remained inside structure suffered minor bruise
48,3,others pit level radial drilling performed negative hole simba ith equipment assistant equipment operator made change drill bit metal bar hammer released coupling rotation unit abruptly withdrawing hand hit back right hand team structure time accident team paid
49,4,others time worker another partner preparing move oil cylinder gallon mobile platform mounted rail platform weighing approximately derailed leaf rail order place platform rail worker lift platform instant right hand one trapped rail platform structure held metallic tube protruding platform accident caused bruised wound index finger right hand fracture time accident wore leather type safety glove
50,4,suspended load operator feeding bag big bag containing scrap sheet lifting loaded bag released hook hoist making abrupt contact liquid zinc furnace generating explosion causing operator hit liquid zinc
51,5,others circumstance two worker company incimmet made loading explosive using equipment anfoloader front work sustained shotcreterepentinamente right superior part crown piece rock approx impacting basket back helper basket suspended height moment later block rock detached wall gable approx impact ampoloader team part block injures operator ampoloader team standing ground equipment anfoloader cabin protection rops fop time accident worker used helmet safety boot suffered polyontusions minor scoria injury
52,5,others circumstance two worker company incimmet fectuaban loading explosive using equipment anfoloader front work sustained shotcreterepentinamente right superior part crown piece rock approx impacting basket back helper basket suspended height moment later block rock detached wall gable approx impact ampoloader team part block injures operator ampoloader team standing ground equipment anfoloader cabin protection rops fop time accident worker used helmet safety boot suffered polyontusions minor scoria injury
53,4,others mechanic assistant throwing wooden block support stabilizer hiab crane truck ground descending truck access ladder arriving last step jump towards ground height treading edge one wooden block cause injury left ankle
54,4,others manually moving steel cabinet disposal help another employee operator finger pressed wall cabinet causing injury
55,3,chemical substance discharge waste operator proceeds remove bag hose rolled circumstance one end hose move direction face driver projecting liquid contained impacting ear part face
56,3,others circumstance operator going level level noticed hydraulic pump inspection cover approx fall stopped equipment activates cat climb upper part equipment moment accommodated cover slide middle finger causing injury
57,2,others installing ripper pin tractor ripper support arm slide pressing second third finger right hand base ripper causing injury described
58,2,pressed employee report lowered cloth purification arranged cart would grab pipe pressing left hand cloth cart
59,2,others end loading explosive work front master loader enters verify mooring blasting accessory retiring top hears sound fragment rock rolling support mesh directs gaze towards crown vertical form point small fragment rock pass opening mesh sustaining impact forehead time event collaborator used helmet safety lens front support top sacrifice mesh opening support mesh 
60,2,manual tool employee performing adjustment tightening operation cutter blade worked neglected key slip causing blade equipment hit causing blunt cut right forearm
61,4,others approximately circumstance messrs truck crane william cruz culminated shipment block metal plate approximate weight william cross rigger climb onto truck remove sling place foot stretcher supported metal plate moment central part stretcher broken result two foot imprisoned producing injury
62,3,others placement last support mesh cloth work moment ground injured collaborator reached electrowelded mesh operator scissor bolter positioned basket pressing mesh one protruding end mesh cross leather glove causing injury right hand
63,4,chemical substance employee checked acid leakage shipping area hit splash solution right hemiface
64,4,fall prevention level employee clearing liquid zinc pump oven stepped platform became unbalanced twist left foot
65,4,chemical substance employee transiting toward cadmium factory near tank copper sulphate acid solution spilled direction reaching leg causing minor burn
66,2,others carrying activity cutting electrowelded mesh work front assistant position foot one end mesh leaving end free moment assistant bend make cut shear end free mesh return inertia hitting partner safety lens
67,4,others refurbishment work hdpe pipe diameter two worker worker secured pipe chain standing basket ampoloader raised height ground pipe slipped impacted arm right causing injury radius right arm
68,4,others circumstance dump truck laden ore entered unload backwards curve upper part via laquia operator notice unevenness road approximately one meter approaching edge overturning truck right side operator traveled alone truck made use safety belt helmet glass time accident unloading process two square accident site test alcohotest operator negative
69,4,others approximately level circumstance worker company rock performed anchorage central pin anchoring drilling machine diamantina xrd bob cat assistant cristian injured made adjustment nut central bolt stilson key simultaneously jose control panel made movement rotation unit positioning clamp pin moment frame slid pressing thumb assistant left hand stilson key causing described injury due lack securing frame fixing bolt
70,3,others carried mechanized support scissor heavy equipment operator pick water supply hose towards drum equipment heading towards cabin scissor way piece rock high approx displaces sliding right foot causing injury described
71,3,others approximately supervising line clamping pom roy canario returning thickener hit nose metal chute operation
72,3,pressed employee performing truck unloading operation iron bundle pressed right finger injured left arm
73,3,others loading two blown hole previous blasting use telescopic ladder master loader pull ladder detaching upper support point height fragment rock projected right end ladder hitting master loader cheekbone upper lip producing lesion described master shipper used safety glass
74,5,others plant stop scheduled maintenance almost end change fitting hdp pipe diameter resident enters work zone bottom supervise work moment four worker anchored harness upper part manipulating accessory tie flange hdp pipe pvc diameter suddenly pvc pipe come support pipe fine material tailing weight fall height meter floor bounce imprisons resident engineer injured worker lower part line fire
75,3,others parking equipment dumper maintenance workshop mechanic asks operator back equipment washing operator start reverse gear cab door fully open upon reaching washing area meter behind brake cabin door close untimely hit face causing minor injury area mechanic floor level safe place
76,5,others circumstance two worker abratech company putty work inside conditioning tank meter deep covered platform metal grating grating upper part two employee hyt company carried maneuver transfer pump help manual tick worked hooked beam dragging pump metal grating grating suddenly pump hooked metal grate grating trying release metal grid grating fall inside tank hit diagonal channel inside tank impact right arm one worker rub helmet second worker crouching area bomb moved marked tape lookout
77,5,others circumstance two worker abratech company putty work inside conditioning tank meter deep covered platform metal grating grating upper part two employee hyt company carried maneuver transfer pump help manual tick worked hooked beam dragging pump metal grating grating suddenly pump hooked metal grate grating trying release metal grid grating fall inside tank hit diagonal channel inside tank impact right arm one worker rub helmet second worker crouching area bomb moved marked tape lookout
78,2,others accessing santa novo area order open chop general moving ahead team order open access manetometer came across area steep slope gravel presence certain place access employee slipped coming become unbalanced moment machete left hand came slip right leg knee causing cut
79,4,poll performing sleeve removal maneuver hole meter deep general silva pressed one side locking nut rod together jack hold entire weight rod maneuver locking procedure effective weight rod secured steel wire rope probe winch moment driller pedro released brake winch inefficacy locking done one side chestnut without aid monkey caused sliding rod auxiliary prepared manual unlocking rod holding faucet key firmly probe tower composition shifted stem slid hand shifted downward causing left hand strike base probe tower structure causing cut quirodactyl employee taken hospital went medical care wound sutured stitch removed day activity
80,1,others trip vehicle end work collaborator rhainer stepped object could identify thus coming pierce sole boot causing small hole sole left foot collaborator perforation possibly due stump wood since area covered collaborator pasture grazed recently near residence
81,2,others workshop level box two mechanic manipulated steel plate place gutter workshop able remove scaler plate slide restricts right ring finger gable plate causing injury collaborator used glove time accident
82,4,manual tool open suction valve acid pump cable pump come loose pressing finger employee left hand tubing causing fracture distal phalanx photo
83,3,fall prevention level worker carried disassembly scaffolding body pulpomatic thickener dismantling base scaffold located approximately one meter high floor sump rivet anchor support platform broken causing fall worker impacting right knee support anchored one horizontal scaffolding structure
84,3,pressed employee report handling air conditioning pressed right chirodactilo causing contusion
85,2,others parking van next cluster wooden sleeper board driver descending stepped board iron nail protruded long identify board submerged puddle water accident caused minor wound sole left foot time accident worker wearing safety boot
86,4,others maintenance locomotive workshop level assistant pulling locomotive chair backwards stumble ventilation grille falling platform locomotive floor workshop height generating injury time accident assistant used safety helmet chin strap
87,4,others machine lifted weight floor level accidently proceeds pull machine key ton maximum cap lay floor advancing horizontally anchor bolt pig tail type diameter key hooked break transversely pulling force key projected onto injured person left shoulder causing injury injured meter key time incident assistant meter away order cleaning
88,4,others positioning scissor bolter east stope meter top operator assistant verify ventilation sleeve obstruct support left gable decide section sleeve direct towards main corridor injured person decides climb roof equipment cabin surface square meter carry reinstallation sectioned sleeve without noticing step empty fall equipment height meter time accident operator scissor bolter platform equipment positioned blocked perform maintenance assistant wearing safety helmet chin strap
89,3,pressurized system cleaning vertical pipe using hydrojet equipment high pressure hose hose returned due obstruction pipe residue reaching operator actuating equipment pedal
90,2,others bypass level worker company incimet raul operator bolter bolting team rolando assistant retired installing support helical bolt pink team mesh overhanging gable teacher tell assistant cut mesh instant assistant finished cutting mesh suddenly rise hitting face causing injury described
91,3,others approximately luna master loader company incimet carrying loading activity front cruiser level moment tying pentacord crown trying reach fanel left side loses balance movement ladder fall floor resulting accident
92,3,others moment worker mechanic workshop maintenance wire mining lamp hooked drill hole work table workshop fell impacted left foot causing minor bruise time accident collaborator used safety boot steel toecap
93,2,others general store two store attendant removed compartment rubber mesh material classification weight lifted approx position edge another mesh placed floor litter slightly imprisons index finger right hand one assistant causing minor cutting wound time accident injured worker used leather glove
94,4,cut employee report attempting manually ingot zinco rotary table ingot hit left hand angle structure ingot pressing finger ingot angle
95,3,others moving roll electro welded mesh weight place hopper truck two operator pull roll mesh bring hopper truck time imprisonment left hand one operator mesh body hopper generating described injury time accident operator wearing pvc type safety glove
96,5,others performing cleaning lhd block level operator surprised rock block displacement side gallery reaching right leg causing superficial injury
97,2,others workshop end welding work small bolter equipment welder proceeds clean inside metal stool impregnated thinner flammable liquid help hammer screwdriver proceeds remove oxide hitting screwdriver hammer produce flash internal base stool produce slight burn right hand welder time accident welder glove left hand
98,3,others approximately cesar operator mine service instant picking cat position one truck crane plate acl raising right hand lower part cat indexed index finger left hand body cylinder valve cat valve turntable upper part
99,4,pressurized system chemical substance employee report placed air lance tank opened manual air valve projection acid solution heated toward reaching front left thigh
100,2,cut injured woman performed cleaning cleaning sink collection room pierced finger fragment glass
101,3,chemical substance discharging sodium hydroxide disconnecting hose employee placed next demineralization suction pump turned receiving projection pump sensor causing degree burn
102,4,others jesus operator concrete throwing team alpha shooting shotcrete work applying realizes additive come mix directing lift cover passage valve inch thickness approximately verifying valve open release lid hit third finger left hand base causing injury
103,4,pressed employee performed return load entrance debarking machine trying align cathode pressed right hand
104,2,others injured worker begin work presenting support mesh cloth floor making initial cut mesh section poncho originating remaining mesh wick tip prong protruding trying make second mesh cut positioned edge remaining mesh wick prevent curling point try take shear remove right foot mesh causing mesh roll embed wick tip pole left boot causing injury time accident worker wearing safety boot
105,4,others ddh chamber company explomin located level socorro ramp worker assistant driller dismantling fifth drill rod meter steel weight using stilson key moment operator operates rotation unit drill rod rotates pressing left hand worker base rod holder causing injury left hand time accident drilling assistant used rubber glove
106,4,others carrying maneuver increase pipe line driller wilder indicates assistant gilton introduce inner pipe drill assistant introduces inner pipe place hand box pipe driller without noticing move pipe assistant hand open chuck rotation unit dropping pipe imprisoning injured person right hand causing injury
107,4,chemical substance employee report climbing access ladder operating room ustulation surprised projection sulfuric acid
108,1,manual tool performing geological mapping activity necessary hammer rock analysis moment clerk held pointed fragment slipped third quirodactyl right hand causing superficial cut
109,4,others approximately kevin helper jumbo removed drill rod drilling hole instant break chain subjection table drilling machine sliding achieving rubbing index finger left hand causing injury
110,3,others approximately francisco operator scoop observes polyethylene pipe thrown road proceeding lower equipment found lifting pipe hook right gable piece rock suspended lectro welded mesh impacting operator right eyebrow causing injury
111,3,chemical substance conducting inspection evaluate activity carried pump house ustulation steam station hit sulfuric acid spill line located pump house thermal recovery boiler
112,3,chemical substance conducting inspection evaluate activity carried pump house ustulation steam station struck sulfuric acid spill line located house thermal recovery boiler pump
113,3,manual tool employee sanding piece electrolysis end operation protective cap disk spun back left hand
114,2,manual tool die cutting feeder pead geomembrane blanket weld seam store extruder stylet blade came direction left forearm resulting blunt short injury
115,3,others welding workshop level tunnel quinoa moment assistant raised wooden strut long diameter weight place work table height tread another wooden strut placed floor losing balance falling level lying laterally concrete wall causing bruise left shoulder
116,2,chemical substance sunday collaborator medical center saying accident day ago performed internal maintenance work heat exchanger defined confined space risk burning acid leaving confined space employee remove protective glove without passed emergency shower moment skin contact occurs sulfate generating lesion
117,4,others moment truck transport personnel company mceisa plate ajg moved surface missing reach mouth gearbox respond driver stop truck inspect along maintenance personnel time traveling truck raise cabin manually put change first continue trip culminated task driver support maintenance personnel lower cabin due weight fall hitting driver cabin hopper truck time accident employee wearing safety helmet chin strap
118,4,others completing welding work backhoe bucket made hour used glass moon welder feel slight discomfort eye transferred medical service evaluation accident welder used facial mask welding
119,2,others employee milpo lima visited facility level waiting personnel cage level drop water fall ceiling height meter approximately product slight filtration crown sustained shotcrete drop enters right eye causing discomfort right eye according employee time accident lens removed clean happened visit interior mine
120,4,others porvenir sub station level assembling metal structure approximately support lifting system three operator try accommodate structure anchor base moment metallic structure slide direction injured worker right hand producing slight right hand accretion head bolt base structure causing injury time accident operator made use safety glove
121,3,others employee performing carbon steel pipe marking activity helmet struck tube causing scalp wound due impact helmet sheepskin
122,3,blocking isolation energy maintenance pump projection silicate pulp reaching right leg employee
123,1,fall prevention level circumstance collaborator juveni performed washing tabolas pot washing area suffers feeling dizziness faintness causing fall level producing slight concussion head
124,4,others transit fuel tanker level level north ramp passing level operator feel right rear tire skid operator performs defensive maneuver truck hit left gable causing injury described time accident pilot pilot wearing safety belt safety glass helmet
125,4,fall field trip return work lunch employee wellfield company slipped loose stone place moment intention balancing tried hold onto tree falling right arm causing fracture distal end radius activity paralyzed employee referred hospital paracatu underwent medical care
126,3,others approximately workshop mechanical maintenance surface orlando boltec assistant macedonio made cut link shorten distance chain hold injection hose resin instant saw blade leaf cutting position affecting second finger left hand causing injury
127,3,others test soft starter engine belt collaborator igor move around site approximately fall trench electric cable deep found partially discovered
128,5,others checking voltage power outlet plug socket make sure connection correct small electrical arc power cord causing slight burn right hand wrist protection system acted immediately
129,1,bee ground team coordinated prospector assistant silva wila prong opening access collect soil sample auxiliar came across tried divert meter right place moment diversion came across marimbondo house front giving time action since thug already agitated silva time sting head another behind neck sting face since allergy test verified allergic reaction washed affected part returned normal activity
130,1,bee geological reconnaissance activity farm lazaro team composed felipe divino morais normal activity encountered ciliary forest needed enter forest verify rock outcrop front divine realized opening access machete moment took bite neck attack allergic reaction continued work normally work completed leaving forest access divine assistant attacked snake suffered sting forehead moment moved away area verified type allergic reaction returned normal activity
131,1,others geological reconnaissance activity farm lazaro team composed felipe divino morais normal activity encountered ciliary forest needed enter forest verify rock outcrop front divine realized opening access machete moment took bite neck attack allergic reaction continued work normally work completed leaving forest access divine assistant attacked snake suffered sting forehead moment moved away area verified type allergic reaction returned normal activity
132,3,cut clerk peeling pulling sheet came another one struck chirodactile left hand tearing pvc sleeve caused cut
133,3,cut process washing material becker tip material broken caused cut finger right hand
134,2,others circumstance collaborator performed cleaning ditch deep removing pipe hdpe material estimated weight together two collaborator pushing tube drain dune collaborator hit lower right side lip producing slight blow lip time event collaborator safety helmet glass glove
135,5,others approximately tecnomin winery chagua bodeguero alone cutting wire grinder previously removed protection guard disk inch diameter adapted disk crosscutter approximately inch originating traumatic amputation two finger left hand
136,2,others field trip lajes target junior costa official stepped wooden stump ground approximately pierced boot wounding sole right foot time accident employee using ppe required activity hand free employee taken hospital went medical care released return activity next day work
137,3,others level ore hauling activity locomotive bine time convoy traveling hopper assistant motorist riding saddle holding pole struck weakly split set suspended hdp pipeline gable work meter floor time accident assistant wearing safety equipment wearing seatbelt time accident split set accompanied movement path convoy
138,1,fall prevention employee work electrician management electrometallurgy suffers contusion right leg suffering slip height step staircase code ele abb furnace cat ladder immediately referred collaborator medical service treated
139,3,others time worker technician orlando boltec cia wanted pas hand stacker sardinel technician pulled hydraulic arm pushing nail equipment reaching trench rim tied team turn forward falling technician
140,1,others circumstance employee made connection electric cable jumbo operator feel discomfort face cleaning hand using rubber glove generating superficial laceration small wound left cheekbone
141,3,others phase iii concentrator plant maintenance personnel carried removal transmission belt flotation cell cleaning moment mechanic removed belt lean left leg slide towards grating floor leaving foot two pipe generating lesion described work carried floor level time accident staff put safety equipment
142,4,fall prevention level approximately operator eustaquio fall metal platform give access tank strong acid leaching stage suffers luxo fracture wrist left leaning floor hand operator directed first tank strong acid leaching stage verify entry spent taque
143,1,bee project vazante carried sediment collection current south mata target drainage serra garrote team composed member wca company leandro jehovanio moving one collection point another inside shallow drainage saw bee carton reaction move away box quickly possible avoid sting ran meter looking safe area exit radius attack bee breno attacked consequently suffered sting belly jehovah hand verified type allergic reaction returned normal activity
144,1,others project vazante carried sediment collection current south mata target drainage serra garrote team composed member wca company leandro jehovanio moving one collection point another inside shallow drainage saw bee carton reaction move away box quickly possible avoid sting ran meter looking safe area exit radius attack bee breno attacked consequently suffered sting belly jehovah hand verified type allergic reaction returned normal activity
145,3,manual tool employee report working brushcutters near stone blade equipment collided piece metal projected toward leg causing injury left leg
146,4,others mooring faneles detonating cord completed injured person proceeds tie detonating cord safety guide slow wick distance meter top work moment finish mooring rock bank front height meter fall floor close injured disintegrates several fragment one slide fragment rock impact left leg victim time accident operator used safety boot accompanied supervisor
147,4,others activity construction wall stopper mortar block improve ventilation intermediate zone moment bricklayer assistant preparing complete construction high wall part wall block per block fall towards scaffold mason assistant jump towards accumulation sand located one side avoid hit block fall injury described occurs time accident mason assistant jump height floor work used personal safety equipment reduced impact fall
148,1,bee geologo auxiliary elismar traveled evaluate geological point following gps near drainage following state highway give access aripuana area stopped got vehicle see point identified gps renato distancing seven meter vehicle following road surprised four bite thorn face neck quickly hurried back vehicle moving away place clerk wearing girdle goggles still wearing glove would enter forest area allergic reaction
149,1,bee geologist auxiliary ademir traveled field evaluate geological point following gps near drainage following state highway give access aripuana area stopped got vehicle see point identified gps mario distancing five meter vehicle following road surprised two bite thorn face quickly hurried back vehicle moving away place clerk wearing girdle goggles still wearing glove would enter forest area allergic reaction
150,1,bee safety technical moved field inspection activity way field paused together two team order know drainage point checked safety getting vehicle struck sting weed neck quickly returned vehicle made radio communication two team distanced place clerk wearing legging glass allergic reaction
151,1,bee auxiliary geologist traveled field evaluate geological point following gps near drainage following state highway give access aripuana area stopped got vehicle see point identified gps ademir distancing five meter vehicle accompanied geologist mario surprised two bite blow neck quickly hurried back vehicle moving away place clerk wearing girdle goggles still wearing glove would enter forest area allergic reaction
152,1,bee traveling field order make geological mapping geologist manoel accompanied prospector marcos stooped deviate vegetation time received three whistling sting two face one neck allergic reaction activity followed normally event
153,1,bee moving field make geological mapping prospector marcos accompanied geologist manoel stooped deviate vegetation moment received whistling sting ring finger right hand allergic reaction activity followed normally event
154,5,applicable approximately operator paulo operator filter informed autoclave operator via radio leak side scruber autoclave iii feed stopped control official georli renato initiated procedure closing autoclave transfer valve flash tqs soon break chicken projecting pulp hot reaching three employee inside room near equipment
155,4,others operator scissor leaf equipment parked level acc due electrical problem maintenance personnel arrives electrician climb control platform equipment performs verification hydraulic system confirming problem coordination mechanic decide perform test diesel system moment accidentally activates body arm movement lever causing drill arm move downwards generating left hand atricion support pivot tube generating lesion described time accident electrician alone control platform mechanic ground level observing pressure diesel system pressure gauge
156,3,others mechanical technician proceeded perform maintenance motor support tipper decided bring wooden block moved temporary storage material located tipper circumstance sought cue camera tire burst suddenly right involved thunderous sound affected right ear worker tire exploded psi pressure approximately time event stacked pneumatic second one exploded presented cut place energy released tire upper part projected tire left previous guard night shift storage area roof place event affected mechanic located distance worker area truck parked none suffered damage glass
157,3,others level access siemag camera roof time piquero civil operator looked stilson key inside metal tool box open metal lid weight hand push lid backwards positioning right hand near base lid causing incentration fifth finger lid structure box height hinge time accident employee wore pad glove reduced consequence injury
158,2,manual tool handling lever move sludge employee moved making pendulum movement striking chin
159,3,others change rim position jumbo moment mechanical technician support electrician disengaged bolt loosening fourth nut help lever metal tube diameter length weight bouncing effect returning initial position hitting palm left hand electrician technician causing injury employee time accident used ppe including leather glove
160,4,others circumstance operator scooptram proceeded sit equipment closing door take right hand handrail place close door hinge closing trap part worker middle finger worker time accident made use leather safety glove
161,4,others plant work geho pump reducer accompanying rotation shaft reducer mixed key wrench crown hit housing geho pump attributing union area fifth fourth finger welder right hand causing injury time accident equipment blocked employee used leather glove
162,5,others access level installation activity hydraulic filling pipe diameter installing section height reference floor master hydraulic filling accident partner suffers attrition right hand upper edge scoop lamp roof work generating injury time accident employee used rubber glove
163,4,pressed frank support another mechanic preparing place floor metal part called rear bridge forklift moment part moving part move generating blow middle finger left hand
164,2,others level gallery performing manual unlocking load worker prepares cut sacrificial mesh exposed previous turn shot placing inch shear cutting fifth suddenly strained wire mesh return face casionandole injury described activity worker used safety glass
165,2,others circumstance adjutant scissor bolter came team ladder last step slide approximate height fall sitting floor time accident person involved use helmet rock material crash site
166,5,others moment maperu truck plate returned city pasco unit transporting consultant meter main gate lane invaded civilian vehicle making driver turn sharply side right staff company impromec hot melt work pipe impacting two collaborator causing injury described time accident truck traveling according inthinc width road meter activity safety cone warning side road employee used respective epp
167,4,others moment maperu truck plate returned city pasco unit transporting consultant meter main gate lane invaded civilian vehicle making driver turn sharply side right staff company impromec hot melt work pipe impacting two collaborator causing injury described time accident truck traveling according inthinc width road meter activity safety cone warning side road employee used respective epp
168,4,manual tool approx hour operator fernando opening wagon find hardened stake bar approx remove moment press bar hit hand
169,4,others execution drilling target bolt made company servitecforaco probe july official josimar silva moment maneuver fish material removing feeder water movement winch realized safety chain loose could curl rod performing chain removal movement placed left hand hose cap hydraulic plate unlocking inner tube abrupt movement chain pushing hand towards hydraulic plate causing injury ring finger hand lesion caused cut quirodactyl need suture point close cut
170,4,others operator paste filling plant remove floor grating clean lower floor removed close water valve block vacuum two technician entering filter belt notice overflow ask operator reduce load mechanic kept walking without noticing floor one fall void impacting foot left angle floor grating producing injury
